ride_id,customer_id,driver_id,city,pickup_area,drop_area,pickup_time,vehicle_type,distance_km,duration_min,demand_level,nearby_drivers,weather,surge_multiplier,base_fare,final_fare,payment_method,ride_status,customer_rating
RPD104426,CUST2343,DRV324,bangalore,Whitefield,Whitefield,2026-06-12 07:11:00,auto,1.72,34.3,Low,22.0,Rain,1.0,30.48,30.48,Card,completed,4.2
RPD103215,CUST3576,DRV194,Bengaluru,Koramangala,MG Road,06-Jul-2026 12:11 AM,bike,1.78,17.4,Low,15.0,,1.0,25.68,25.68,Card,Cancelled by Driver,
RPD100052,CUST2094,DRV102,Pune,Baner,Baner,2026-06-16 14:35:00,BIKE,5.39,15.5,Low,15.0,Clear,1.0,47.34,47.34,Card,Ongoing,
RPD102806,CUST1669,DRV511,bangalore,Whitefield,MG Road,27/06/2026 17:15,Cab Economy,7.01,10.1,Low,19.0,Rain,1.0,99.12,99.12,Card,Cancelled by Driver,
RPD102934,CUST2901,DRV431,Bangalore,Electronic City,HSR Layout,12/06/2026 09:53,Auto,3.62,7.8,Very High,4.0,Fog,1.91,47.58,,Cash,COMPLETED,5.0
RPD101587,CUST2375,,Hyderabad,Banjara Hills,Madhapur,10/07/2026 14:39,BIKE,1.28,37.8,Medium,16.0,Clear,1.17,22.68,26.54,wallet,Cancelled by Customer,
RPD100512,CUST2631,DRV486,Mumbai,Bandra,Borivali,2026-06-13 07:27:00,cab economy,3.24,17.6,Low,23.0,,1.0,53.88,53.88,Cash,Cancelled by Driver,
RPD101060,CUST1204,,BANGALORE,Whitefield,Electronic City,2026-07-08 08:11:00,auto,4.54,26.2,High,13.0,,1.52,55.86,84.91,Wallet,Cancelled by Customer,
RPD102070,CUST1252,DRV629,Hyderabad,Banjara Hills,Madhapur,07-Jun-2026 01:19 PM,Cab Economy,2.56,32.1,Low,12.0,Rain,1.0,45.72,45.72,Wallet,Completed,4.6
RPD100675,CUST3996,DRV784,Hyderabad,Madhapur,Gachibowli,2026-06-30 09:58:00,cab economy,3.62,3.3,Very High,16.0,Cloudy,1.83,58.44,106.95,upi,Cancelled by Driver,
RPD102374,CUST1365,,Hyderabad,Gachibowli,Madhapur,21/06/2026 18:47,Bike,9.96,14.1,Very High,10.0,Heavy Rain,1.86,74.76,139.05,Cash,Cancelled by Customer,
RPD104355,CUST1946,DRV610,BANGALORE,HSR Layout,MG Road,16-Jun-2026 07:28 PM,,2.64,34.1,Very High,13.0,Fog,1.96,46.68,91.49,Wallet,completed,3.5
RPD100651,CUST1793,DRV451,hyderabad ,Kukatpally,Hitech City,2026-06-25 12:44:00,bike,7.14,11.9,Low,20.0,Cloudy,1.0,57.84,57.84,wallet,Cancelled by Driver,
RPD101544,CUST3031,DRV489,Hyderabad,Banjara Hills,Madhapur,2026-07-08 07:51:00,Cab Economy,2.42,32.4,Low,17.0,Fog,1.03,44.04,45.36,Card,Ongoing,
RPD100213,CUST3680,DRV191,mumbai,Colaba,Powai,11/06/2026 21:56,auto,2.55,20.2,Low,22.0,,1.04,37.95,39.47,cash ,COMPLETED,5.0
RPD104681,CUST3803,DRV624,Mumbai,Andheri,Andheri,2026-06-25 04:08:00,,9.76,18.9,Low,27.0,Cloudy,1.04,132.12,137.4,Cash,Ongoing,
RPD100724,CUST2329,DRV326,Pune,Kothrud,Viman Nagar,2026-06-18 00:26:00,auto,5.27,45.5,Very High,23.0,Heavy Rain,1.98,62.43,123.61,upi,completed,
RPD100116,CUST1599,DRV397,Bengaluru,MG Road,MG Road,2026-07-02 10:30:00,auto,5.6,13.9,Very High,23.0,Heavy Rain,1.94,65.4,126.88,UPI,Cancelled by Driver,
RPD102728,CUST1681,DRV476,Bengaluru,Jayanagar,Koramangala,05-Jul-2026 01:50 AM,Bike,3.91,18.8,Low,28.0,Fog,1.12,38.46,43.08,UPI,COMPLETED,4.5
RPD104918,CUST2426,DRV155,Mumbai,Colaba,Dadar,2026-07-13 01:39:00,cab economy,2.97,12.0,Medium,26.0,Cloudy,1.16,50.64,58.74,Card,completed,5.0
RPD103891,CUST1446,DRV623,Bangalore,Indiranagar,Whitefield,06-Jul-2026 10:49 PM,Cab Economy,2.3,18.0,Medium,21.0,Heavy Rain,1.14,42.6,48.56,Card,COMPLETED,4.8
RPD101525,CUST2921,,Bengaluru,Koramangala,Electronic City,07-Jul-2026 03:08 PM,Auto,9.53,8.7,Low,20.0,Fog,1.04,100.77,104.8,,Cancelled by Customer,
RPD103235,CUST3706,DRV684,BANGALORE,Whitefield,HSR Layout,05/07/2026 13:43,BIKE,3.55,11.5,Very High,31.0,Rain,1.81,36.3,65.7,UPI,Ongoing,
RPD102194,CUST3004,,mumbai,Bandra,Andheri,09-Jul-2026 04:17 PM,cab economy,4.23,6.3,Low,24.0,Heavy Rain,4.15,65.76,272.9,,Cancelled by Customer,
RPD102979,CUST2074,,bangalore,Koramangala,Whitefield,2026-07-08 20:00:00,Cab Economy,11.36,7.8,Very High,12.0,Cloudy,1.94,151.32,Rs. 293.56,wallet,Cancelled by Customer,
RPD100492,CUST3698,DRV463,mumbai,Andheri,Powai,13-Jun-2026 01:49 PM,,5.0,10.2,Low,26.0,Clear,1.0,75.0,75.0,Wallet,COMPLETED,
RPD101860,CUST3466,DRV438,Mumbai,Powai,Colaba,13/07/2026 08:47,BIKE,1.93,29.3,High,0.0,,1.38,26.58,36.68,Wallet,completed,4.6
RPD100378,CUST1774,DRV164,Hyderabad,Gachibowli,Gachibowli,2026-07-04 20:01:00,BIKE,1.54,10.5,High,18.0,Cloudy,1.39,24.24,33.69,UPI,Cancelled by Driver,
RPD103498,CUST1415,DRV305,Hyderabad,Kukatpally,Banjara Hills,07-Jun-2026 05:59 AM,auto,4.89,9.6,Medium,23.0,Fog,1.1,59.01,64.91,cash ,Cancelled by Driver,
RPD100232,CUST3411,DRV226,bangalore,Whitefield,Electronic City,13-Jun-2026 06:07 AM,Auto,2.37,19.7,Low,15.0,,1.0,36.33,36.33,,COMPLETED,4.5
RPD104480,CUST2141,DRV721,Bengaluru,Electronic City,Jayanagar,2026-07-08 23:14:00,auto,1.97,20.3,Medium,19.0,Fog,1.03,32.73,33.71,cash ,COMPLETED,5.0
RPD102167,CUST1192,DRV742,Mumbai,Bandra,Bandra,15/07/2026 22:00,cab economy,4.32,4.7,Medium,21.0,Cloudy,1.19,66.84,79.54,,Ongoing,
RPD102144,CUST2059,DRV459,bangalore,Whitefield,Electronic City,02/06/2026 00:29,BIKE,0.7,4.9,Medium,15.0,,1.08,19.2,20.74,wallet,Ongoing,
RPD102774,CUST3854,DRV601,mumbai,Bandra,Borivali,05-Jun-2026 10:28 PM,Bike,6.64,35.7,Very High,19.0,Heavy Rain,1.84,54.84,100.91,Card,Cancelled by Driver,
RPD100423,CUST3838,DRV507,Pune,Kothrud,Baner,10-Jun-2026 12:18 AM,Auto,3.11,8.7,Very High,13.0,Heavy Rain,1.87,42.99,80.39,cash ,Cancelled by Driver,
RPD104420,CUST2247,DRV217,mumbai,Powai,Powai,2026-06-09 15:57:00,bike,3.62,13.3,Medium,23.0,Fog,1.19,36.72,43.7,UPI,Ongoing,
RPD101382,CUST2898,DRV457,Bengaluru,Jayanagar,HSR Layout,24/06/2026 18:29,BIKE,10.78,20.8,High,6.0,Cloudy,1.38,79.68,109.96,,Completed,5.0
RPD101697,CUST2082,DRV694,Mumbai,Powai,Borivali,16/07/2026 18:51,Auto,1.67,16.2,Very High,14.0,Clear,1.76,30.03,52.85,wallet,completed,4.3
RPD100662,CUST1970,DRV308,Bangalore,MG Road,Whitefield,17-Jun-2026 12:43 AM,Bike,4.12,15.0,Low,14.0,Fog,1.04,39.72,41.31,Wallet,Completed,5.0
RPD102729,CUST3174,DRV197,Mumbai,Powai,Borivali,15-Jun-2026 01:25 AM,cab economy,1.73,21.8,Very High,11.0,Rain,1.88,35.76,67.23,,Completed,
RPD103644,CUST1085,DRV472,mumbai,Colaba,Borivali,07-Jun-2026 07:27 AM,BIKE,3.86,29.8,Low,14.0,Clear,1.02,38.16,38.92,UPI,completed,4.0
RPD103461,CUST3586,DRV562,mumbai,Colaba,Powai,17/06/2026 11:43,BIKE,6.84,14.0,Medium,14.0,Clear,3.59,56.04,201.18,upi,COMPLETED,3.9
RPD102931,CUST3962,,Pune,Hinjewadi,Camp,02/06/2026 18:51,,3.83,13.3,High,9.0,,1.37,60.96,Rs. 83.52,Cash,Cancelled by Customer,
RPD104659,CUST3237,DRV564,Bengaluru,Koramangala,MG Road,2026-06-24 12:19:00,,2.97,33.0,Low,15.0,Fog,1.0,50.64,50.64,Wallet,completed,5.0
RPD100723,CUST3054,DRV787,Mumbai,Powai,Colaba,03-Jul-2026 05:54 PM,cab economy,0.51,8.0,Low,16.0,Rain,1.06,21.12,22.39,UPI,Cancelled by Driver,
RPD104225,CUST2931,DRV755,mumbai,Dadar,Powai,21-Jun-2026 07:50 AM,Cab Economy,1.91,14.6,Medium,20.0,,1.1,37.92,41.71,Card,Completed,3.8
RPD102957,CUST2854,DRV774,Bangalore,Whitefield,Koramangala,24/06/2026 05:47,Bike,5.38,21.8,Very High,29.0,Rain,1.89,47.28,89.36,,completed,
RPD101537,CUST2141,DRV166,Bangalore,Electronic City,Jayanagar,2026-07-09 18:15:00,Bike,4.21,10.7,Very High,5.0,Heavy Rain,1.79,40.26,72.07,Wallet,completed,4.0
RPD103942,CUST2126,DRV583,bangalore,Koramangala,Indiranagar,2026-06-30 20:18:00,Auto,8.73,10.1,High,13.0,Cloudy,1.36,93.57,127.26,UPI,Completed,4.2
RPD101128,CUST3045,DRV515,Bangalore,Whitefield,Electronic City,2026-06-16 07:15:00,Auto,6.81,9.3,Medium,24.0,Clear,1.1,76.29,83.92,UPI,Ongoing,
RPD104783,CUST2521,DRV229,hyderabad ,Hitech City,Hitech City,23/06/2026 23:08,,2.79,12.6,Medium,29.0,Cloudy,1.12,48.48,54.3,Wallet,Cancelled by Driver,
RPD100696,CUST1600,DRV246,mumbai,Colaba,Colaba,09/07/2026 08:51,Auto,2.07,14.4,Very High,4.0,Rain,1.9,33.63,63.9,Cash,Ongoing,
RPD101147,CUST1259,DRV421,BANGALORE,Koramangala,MG Road,2026-06-05 07:49:00,auto,0.63,23.0,Medium,16.0,,1.08,20.67,22.32,Card,COMPLETED,4.2
RPD101087,CUST2090,,BANGALORE,HSR Layout,Whitefield,25-Jun-2026 07:11 PM,,2.12,46.9,Very High,3.0,Rain,1.83,40.44,74.01,Cash,Cancelled by Customer,
RPD102954,CUST3692,DRV231,mumbai,Bandra,Borivali,2026-06-22 19:48:00,Cab Economy,4.3,16.3,Very High,6.0,Clear,1.89,66.6,125.87,Card,Ongoing,
RPD100187,CUST2985,DRV452,Bangalore,Koramangala,Whitefield,2026-06-25 04:26:00,,4.53,11.3,Low,24.0,Clear,1.0,69.36,69.36,Wallet,Ongoing,
RPD101078,CUST1775,DRV481,Hyderabad,Kukatpally,Kukatpally,2026-06-08 01:58:00,,3.96,20.3,Low,18.0,,1.0,62.52,62.52,wallet,Completed,4.9
RPD101658,CUST2964,DRV490,Bangalore,Koramangala,Jayanagar,21/06/2026 18:30,BIKE,2.47,9.1,Very High,3.0,Rain,1.89,29.82,56.36,wallet,COMPLETED,4.2
RPD103899,CUST3222,DRV702,hyderabad ,Kukatpally,Hitech City,26/06/2026 18:25,Cab Economy,1.79,21.5,Very High,12.0,Cloudy,1.91,36.48,69.68,,completed,
RPD103482,CUST2146,DRV504,Mumbai,Colaba,Colaba,2026-07-07 20:03:00,Auto,4.99,10.2,Very High,7.0,Clear,1.9,59.91,113.83,cash ,Completed,4.4
RPD100636,CUST1275,DRV100,hyderabad ,Gachibowli,Madhapur,02-Jul-2026 04:14 AM,auto,5.29,28.7,Medium,15.0,,1.12,62.61,Rs. 70.12,Cash,COMPLETED,4.6
RPD103453,CUST2208,DRV265,Mumbai,Borivali,Colaba,2026-07-16 18:57:00,cab economy,9.36,15.8,High,15.0,,1.38,127.32,,Wallet,COMPLETED,3.8
RPD104707,CUST2896,DRV650,Bangalore,Electronic City,Whitefield,2026-06-21 03:05:00,Bike,1.82,10.0,Very High,13.0,Rain,1.89,25.92,48.99,,Completed,3.7
RPD101129,CUST2098,DRV750,mumbai,Borivali,Powai,24/06/2026 14:49,auto,7.37,16.9,Low,15.0,Cloudy,1.0,81.33,81.33,Wallet,COMPLETED,5.0
RPD100688,CUST3006,DRV707,Hyderabad,Gachibowli,Madhapur,2026-06-02 12:49:00,auto,5.96,7.8,Very High,20.0,Heavy Rain,1.93,68.64,132.48,cash ,completed,4.6
RPD104538,CUST2226,DRV751,Bengaluru,Koramangala,Jayanagar,2026-06-21 16:47:00,Auto,8.47,14.8,Low,19.0,Fog,1.0,91.23,91.23,UPI,COMPLETED,4.5
RPD100808,CUST1774,DRV315,Bengaluru,Koramangala,Jayanagar,25-Jun-2026 05:05 AM,Cab Economy,4.27,11.0,Low,12.0,Cloudy,1.05,66.24,69.55,Wallet,COMPLETED,5.0
RPD102210,CUST2180,,Mumbai,Dadar,Bandra,2026-07-03 03:57:00,Cab Premium,6.43,34.4,Medium,29.0,Heavy Rain,1.2,130.74,156.89,Cash,Cancelled by Customer,
RPD104379,CUST2998,DRV416,Bangalore,Whitefield,Jayanagar,2026-06-21 12:36:00,BIKE,5.21,14.6,Low,11.0,Fog,1.06,46.26,49.04,Cash,COMPLETED,4.3
RPD100256,CUST2352,DRV216,Hyderabad,Kukatpally,Madhapur,2026-06-01 16:56:00,auto,9.08,16.7,Very High,21.0,Rain,1.93,96.72,186.67,,COMPLETED,4.9
RPD100316,CUST2171,DRV572,Hyderabad,Kukatpally,Hitech City,2026-06-16 16:34:00,,4.9,4.9,Low,25.0,,1.0,73.8,73.8,Cash,Cancelled by Driver,
RPD104031,CUST1521,DRV569,Pune,Viman Nagar,Kothrud,2026-06-11 15:05:00,BIKE,1.54,22.4,Medium,17.0,,1.16,24.24,Rs. 28.12,Wallet,completed,4.4
RPD102044,CUST1081,DRV220,Hyderabad,Hitech City,Madhapur,2026-07-13 05:26:00,Cab Premium,5.94,41.3,Medium,16.0,,1.11,121.92,135.33,UPI,Ongoing,
RPD101963,CUST1890,DRV567,bangalore,MG Road,Electronic City,04-Jul-2026 04:05 PM,BIKE,9.82,20.3,Medium,23.0,Clear,1.23,73.92,90.92,wallet,Cancelled by Driver,
RPD103934,CUST1607,DRV791,BANGALORE,Koramangala,Whitefield,2026-07-01 21:32:00,,8.59,7.1,Very High,12.0,Rain,1.92,118.08,226.71,,Cancelled by Driver,
RPD104746,CUST3305,,Hyderabad,Banjara Hills,Hitech City,12-Jul-2026 01:36 AM,Auto,6.42,7.8,Medium,20.0,Fog,1.09,72.78,79.33,,Cancelled by Customer,
RPD103439,CUST2224,DRV113,Pune,Baner,Baner,2026-07-04 06:36:00,Cab Premium,2.79,7.1,Very High,25.0,Rain,1.79,65.22,116.74,UPI,Ongoing,
RPD104147,CUST1850,DRV248,Mumbai,Powai,Borivali,10-Jul-2026 06:22 PM,bike,1.02,41.1,High,9.0,Clear,1.4,21.12,29.57,upi,Completed,4.7
RPD103895,CUST3921,DRV775,bangalore,Whitefield,HSR Layout,2026-07-15 13:26:00,cab economy,10.4,35.0,Low,19.0,,1.02,139.8,142.6,Cash,completed,3.9
RPD104375,CUST3925,DRV255,Pune,Viman Nagar,Kothrud,2026-06-15 12:39:00,Auto,2.16,32.1,Very High,31.0,Rain,1.98,34.44,68.19,upi,COMPLETED,5.0
RPD103277,CUST3451,DRV188,mumbai,Powai,Andheri,2026-07-01 15:25:00,Cab Premium,3.9,17.9,Medium,14.0,Clear,1.09,85.2,92.87,upi,Cancelled by Driver,
RPD103791,CUST1840,DRV369,Bengaluru,Koramangala,Electronic City,2026-07-12 07:38:00,Cab Economy,0.83,10.8,Medium,14.0,,1.13,24.96,28.2,Wallet,completed,4.0
RPD104503,CUST2098,,bangalore,Indiranagar,MG Road,29/06/2026 01:07,Bike,5.16,12.8,Low,19.0,Rain,1.1,45.96,50.56,cash ,Cancelled by Customer,
RPD100361,CUST1435,DRV216,Hyderabad,Hitech City,Kukatpally,10/07/2026 01:15,Bike,2.47,15.6,Medium,20.0,Heavy Rain,1.16,29.82,34.59,,Completed,4.3
RPD101448,CUST1699,,Bangalore,Koramangala,MG Road,15-Jul-2026 05:30 PM,bike,2.14,11.1,Very High,28.0,Heavy Rain,1.91,27.84,53.17,upi,Cancelled by Customer,
RPD101167,CUST3714,DRV598,hyderabad ,Hitech City,Hitech City,06/07/2026 20:20,auto,3.12,11.0,Very High,17.0,Cloudy,1.88,43.08,80.99,,COMPLETED,5.0
RPD100585,CUST1883,DRV797,hyderabad ,Gachibowli,Hitech City,08/07/2026 12:30,BIKE,1.0,11.4,Low,8.0,,1.04,21.0,21.84,Cash,COMPLETED,4.1
RPD104786,CUST1468,DRV349,Hyderabad,Kukatpally,Madhapur,28/06/2026 19:50,,-2.28,9.7,Very High,11.0,Rain,1.9,16.2,30.78,,Cancelled by Driver,
RPD102359,CUST1940,DRV747,Pune,Hinjewadi,Kothrud,07/07/2026 10:39,BIKE,3.37,8.7,Low,16.0,,1.0,35.22,35.22,Wallet,COMPLETED,3.5
RPD103365,CUST2881,DRV642,Mumbai,Colaba,Powai,25-Jun-2026 01:34 PM,Auto,8.44,22.0,Low,28.0,Fog,1.0,90.96,90.96,cash ,COMPLETED,4.0
RPD100180,CUST3070,DRV236,Pune,Baner,Hinjewadi,2026-06-10 22:17:00,,1.05,14.6,Low,21.0,Cloudy,1.02,27.6,28.15,wallet,Completed,4.5
RPD104078,CUST2542,DRV331,Hyderabad,Kukatpally,Hitech City,2026-06-04 18:05:00,Cab Economy,4.34,14.8,Very High,4.0,,1.85,67.08,124.1,Card,Ongoing,
RPD100379,CUST2245,,Bengaluru,Jayanagar,Electronic City,12/07/2026 10:26,cab economy,8.11,32.3,Low,18.0,Fog,1.0,112.32,112.32,Cash,Cancelled by Customer,
RPD100668,CUST1063,,Mumbai,Powai,Powai,2026-06-21 03:05:00,cab economy,12.64,25.0,Low,17.0,,1.07,166.68,178.35,Cash,Cancelled by Customer,
RPD103341,CUST2927,DRV703,Bangalore,Electronic City,Koramangala,09-Jul-2026 02:02 AM,,4.05,27.3,Low,18.0,Clear,1.11,63.6,70.6,Cash,completed,4.6
RPD100768,CUST2577,DRV747,mumbai,Borivali,Dadar,13/07/2026 18:33,BIKE,5.92,10.4,Very High,0.0,Heavy Rain,1.94,50.52,98.01,UPI,Completed,5.0
RPD102456,CUST3545,DRV507,Bengaluru,Koramangala,MG Road,15-Jul-2026 03:51 PM,Auto,6.38,16.5,Low,24.0,Cloudy,1.02,72.42,73.87,,Cancelled by Driver,
RPD104411,CUST1073,,Hyderabad,Banjara Hills,Madhapur,12-Jul-2026 06:02 PM,Auto,4.03,3.8,High,8.0,Cloudy,1.39,51.27,71.27,,Cancelled by Customer,
RPD103690,CUST3242,DRV769,BANGALORE,Koramangala,Koramangala,2026-06-10 23:06:00,auto,3.96,22.2,Very High,10.0,Rain,1.92,50.64,97.23,Wallet,Completed,4.0
RPD100799,CUST1404,DRV632,mumbai,Bandra,Powai,2026-06-10 07:52:00,Bike,9.19,29.4,Low,26.0,Cloudy,1.03,70.14,72.24,upi,Ongoing,
RPD101321,CUST3718,DRV750,Bengaluru,Jayanagar,Jayanagar,2026-07-11 10:47:00,,3.3,8.1,Very High,20.0,Rain,1.86,54.6,Rs. 101.56,wallet,completed,4.2
RPD104897,CUST3472,DRV776,mumbai,Colaba,Dadar,2026-06-06 23:51:00,Cab Economy,9.7,21.6,Very High,14.0,Heavy Rain,1.93,131.4,253.6,UPI,Cancelled by Driver,
RPD103956,CUST3285,DRV729,Bangalore,MG Road,Whitefield,03/06/2026 01:49,Cab Economy,4.39,36.2,Very High,28.0,Rain,1.85,67.68,125.21,Card,COMPLETED,3.3
RPD102235,CUST1058,,Bengaluru,Whitefield,MG Road,05/06/2026 09:41,cab economy,7.05,38.3,Very High,11.0,Clear,1.94,99.6,193.22,wallet,Cancelled by Customer,
RPD103941,CUST2239,DRV533,Pune,Viman Nagar,Baner,04/07/2026 10:51,cab economy,2.2,18.5,Low,20.0,Clear,1.0,41.4,41.4,cash ,Completed,4.6
RPD104030,CUST1571,DRV237,Hyderabad,Kukatpally,Kukatpally,13-Jul-2026 07:06 AM,Cab Economy,0.98,33.5,Very High,25.0,Rain,1.93,26.76,51.65,cash ,Cancelled by Driver,
RPD100424,CUST1021,DRV359,Pune,Baner,Camp,17/06/2026 02:06,cab economy,7.13,19.8,Medium,13.0,Heavy Rain,1.12,100.56,112.63,wallet,COMPLETED,4.4
RPD100140,CUST1701,DRV184,mumbai,Dadar,Dadar,2026-07-07 07:44:00,Bike,2.42,18.5,Low,15.0,Clear,1.05,29.52,31.0,,COMPLETED,
RPD103026,CUST1249,DRV637,bangalore,Koramangala,Jayanagar,2026-07-11 23:43:00,bike,10.34,13.1,Very High,25.0,Heavy Rain,1.88,77.04,144.84,wallet,Ongoing,
RPD100415,CUST2735,DRV586,Bengaluru,HSR Layout,Indiranagar,2026-06-10 03:11:00,Bike,5.02,7.4,Low,20.0,Cloudy,1.0,45.12,45.12,cash ,Ongoing,
RPD102719,CUST2582,DRV181,BANGALORE,HSR Layout,Whitefield,27-Jun-2026 11:08 AM,bike,3.81,9.1,Low,18.0,,1.07,37.86,40.51,cash ,COMPLETED,
RPD101920,CUST1933,,Mumbai,Bandra,Dadar,2026-06-25 05:09:00,Auto,18.96,14.9,Low,18.0,,1.0,185.64,185.64,Card,Cancelled by Customer,
RPD102781,CUST3594,DRV245,mumbai,Andheri,Dadar,09/06/2026 20:12,auto,10.59,28.3,Very High,8.0,,1.93,110.31,212.9,cash ,completed,4.6
RPD104454,CUST2273,DRV583,Hyderabad,Banjara Hills,Madhapur,05-Jun-2026 12:47 PM,Cab Economy,1.92,27.4,Very High,19.0,Heavy Rain,1.96,38.04,74.56,Wallet,Completed,5.0
RPD103505,CUST3784,DRV436,hyderabad ,Banjara Hills,Hitech City,2026-06-08 15:18:00,cab economy,7.66,3.0,Very High,20.0,Heavy Rain,1.86,106.92,198.87,cash ,Ongoing,
RPD101209,CUST2409,DRV725,Hyderabad,Banjara Hills,Banjara Hills,28-Jun-2026 05:57 PM,auto,1.33,3.3,Medium,14.0,Clear,1.15,26.97,31.02,wallet,Cancelled by Driver,
RPD103009,CUST3281,DRV779,Hyderabad,Banjara Hills,Hitech City,2026-07-09 15:22:00,Bike,0.96,3.0,Medium,35.0,Cloudy,1.22,20.76,25.33,,Ongoing,
RPD103851,CUST2004,,Hyderabad,Hitech City,Gachibowli,2026-06-16 06:27:00,bike,2.82,9.7,Very High,22.0,Heavy Rain,1.84,31.92,58.73,,Cancelled by Customer,
RPD102865,CUST2966,DRV101,BANGALORE,Whitefield,Whitefield,2026-07-15 12:28:00,Cab Economy,2.8,16.4,Low,24.0,Fog,1.0,48.6,48.6,Wallet,completed,3.9
RPD102741,CUST2642,DRV725,Bangalore,Whitefield,Jayanagar,07-Jun-2026 07:28 PM,cab economy,4.06,16.4,Very High,9.0,Cloudy,1.88,63.72,119.79,wallet,Cancelled by Driver,
RPD103084,CUST2335,DRV622,Mumbai,Borivali,Powai,05/07/2026 04:07,Auto,6.8,7.4,Low,32.0,Fog,1.0,76.2,76.2,,completed,4.5
RPD104339,CUST2843,DRV182,mumbai,Andheri,Dadar,2026-07-05 01:01:00,Auto,2.78,17.5,Very High,30.0,Heavy Rain,1.91,40.02,Rs. 76.44,,Ongoing,
RPD104349,CUST3283,,mumbai,Andheri,Andheri,2026-06-01 05:36:00,Bike,3.22,18.8,Medium,21.0,Fog,1.07,34.32,36.72,Wallet,Cancelled by Customer,
RPD101197,CUST3845,DRV213,Bangalore,MG Road,Electronic City,04/07/2026 03:54,BIKE,10.02,14.4,Low,24.0,Cloudy,1.17,75.12,87.89,Wallet,Ongoing,
RPD100049,CUST2324,DRV218,bangalore,HSR Layout,Whitefield,27/06/2026 10:20,cab economy,3.39,10.2,Low,24.0,Heavy Rain,1.03,55.68,57.35,wallet,Completed,5.0
RPD101662,CUST3796,DRV257,mumbai,Borivali,Bandra,26-Jun-2026 10:54 PM,BIKE,3.23,7.2,Low,28.0,,1.0,34.38,34.38,Wallet,COMPLETED,4.5
RPD100157,CUST2571,DRV533,Mumbai,Colaba,Colaba,2026-06-06 21:08:00,Cab Economy,7.36,7.3,Medium,12.0,,1.07,103.32,110.55,Cash,Ongoing,
RPD101164,CUST3891,DRV469,Bengaluru,Whitefield,Electronic City,22-Jun-2026 08:43 PM,Cab Premium,2.24,28.4,Very High,2.0,Clear,1.83,55.32,101.24,Card,Cancelled by Driver,
RPD103577,CUST2871,DRV126,Mumbai,Colaba,Colaba,24-Jun-2026 02:28 PM,Cab Economy,7.82,9.4,Low,23.0,Fog,1.0,108.84,108.84,Wallet,COMPLETED,3.9
RPD101584,CUST1465,DRV777,Hyderabad,Madhapur,Gachibowli,26/06/2026 23:14,BIKE,3.5,18.2,Medium,10.0,,1.18,36.0,42.48,Cash,Ongoing,
RPD103191,CUST2868,,Mumbai,Colaba,Borivali,21-Jun-2026 11:11 PM,Auto,2.77,8.2,Low,17.0,,1.0,39.93,39.93,Wallet,Cancelled by Customer,
RPD103619,CUST1795,DRV744,BANGALORE,Whitefield,Jayanagar,04-Jul-2026 12:32 PM,BIKE,1.82,29.7,Very High,13.0,Heavy Rain,1.86,25.92,48.21,wallet,Ongoing,
RPD100493,CUST3327,DRV744,Bengaluru,HSR Layout,HSR Layout,14-Jul-2026 12:48 PM,Bike,4.75,26.0,Medium,18.0,Fog,1.09,43.5,47.42,wallet,Cancelled by Driver,
RPD101702,CUST3314,DRV516,Bengaluru,Electronic City,Indiranagar,2026-06-27 17:30:00,cab economy,1.85,14.0,Low,25.0,Cloudy,1.04,37.2,38.69,Cash,COMPLETED,4.3
RPD103016,CUST3213,DRV315,Mumbai,Andheri,Colaba,2026-07-03 21:11:00,Cab Economy,2.77,16.9,Low,17.0,Rain,1.05,48.24,50.65,upi,Completed,4.3
RPD100722,CUST1476,,Pune,Camp,Hinjewadi,2026-06-22 20:47:00,auto,3.13,18.3,Very High,17.0,,1.9,43.17,82.02,cash ,Cancelled by Customer,
RPD104625,CUST1686,,BANGALORE,Electronic City,Electronic City,20/06/2026 23:41,BIKE,5.02,13.2,Medium,21.0,Fog,1.13,45.12,50.99,,Cancelled by Customer,
RPD100101,CUST1107,,mumbai,Borivali,Powai,16/07/2026 02:35,BIKE,12.49,7.4,Very High,19.0,Heavy Rain,1.9,89.94,170.89,Wallet,Cancelled by Customer,
RPD104629,CUST2850,DRV338,mumbai,Andheri,Bandra,19/06/2026 01:52,Auto,-0.5,32.7,Low,24.0,,1.0,15.9,15.9,Wallet,completed,4.7
RPD104828,CUST3074,DRV413,Mumbai,Bandra,Andheri,2026-06-07 12:03:00,cab economy,7.02,30.8,Low,19.0,Heavy Rain,1.0,99.24,99.24,wallet,completed,4.0
RPD101043,CUST3519,DRV685,Pune,Hinjewadi,Kothrud,2026-07-13 21:42:00,bike,10.1,11.4,Low,16.0,Fog,1.0,75.6,75.6,,COMPLETED,4.2
RPD102789,CUST1558,DRV249,BANGALORE,Electronic City,HSR Layout,2026-06-07 04:52:00,bike,4.36,26.4,Very High,28.0,Heavy Rain,1.86,41.16,76.56,Card,Cancelled by Driver,
RPD102036,CUST2085,DRV522,bangalore,Jayanagar,Jayanagar,27-Jun-2026 10:30 AM,Auto,2.15,19.0,Medium,5.0,Rain,1.11,34.35,38.13,Wallet,completed,4.8
RPD101581,CUST1838,DRV323,BANGALORE,MG Road,Indiranagar,14-Jun-2026 09:41 PM,Cab Premium,2.07,6.1,Medium,21.0,Clear,1.13,52.26,59.05,UPI,completed,3.9
